Nation,Gold,Silver,Bronze,Total
Algeria,2,0,1,3
Argentina,0,2,1,3
Armenia,1,1,0,2
Australia,9,9,23,41
Austria,0,1,2,3
Azerbaijan,0,1,0,1
Bahamas,0,1,0,1
Belarus,1,6,8,15
Belgium,2,2,2,6
Brazil,3,3,9,15
Bulgaria,3,7,5,15
Burundi,1,0,0,1
Canada,3,11,8,22
China,16,22,12,50
Chinese Taipei,0,1,0,1
Costa Rica,1,0,0,1
Croatia,1,1,0,2
Cuba,9,8,8,25
Czech Republic,4,3,4,11
Denmark,4,1,1,6
Ecuador,1,0,0,1
Ethiopia,2,0,1,3
Finland,1,2,1,4
France,15,7,15,37
Georgia,0,0,2,2
Germany,20,18,27,65
Great Britain,1,8,6,15
Greece,4,4,0,8
Hong Kong,1,0,0,1
Hungary,7,4,10,21
India,0,0,1,1
Indonesia,1,1,2,4
Iran,1,1,1,3
Ireland,3,0,1,4
Israel,0,0,1,1
Italy,13,10,12,35
Jamaica,1,3,2,6
Japan,3,6,5,14
Kazakhstan,3,4,4,11
Kenya,1,4,3,8
Latvia,0,1,0,1
Lithuania,0,0,1,1
Malaysia,0,1,1,2
Mexico,0,0,1,1
Moldova,0,1,1,2
Mongolia,0,0,1,1
Morocco,0,0,2,2
Mozambique,0,0,1,1
Namibia,0,2,0,2
Netherlands,4,5,10,19
New Zealand,3,2,1,6
Nigeria,2,1,3,6
North Korea,2,1,2,5
Norway,2,2,3,7
Philippines,0,1,0,1
Poland,7,5,5,17
Portugal,1,0,1,2
Puerto Rico,0,0,1,1
Romania,4,7,9,20
Russia,26,21,16,63
Slovakia,1,1,1,3
Slovenia,0,2,0,2
South Africa,3,1,1,5
South Korea,7,15,5,27
Spain,5,6,6,17
Sweden,2,4,2,8
Switzerland,4,3,0,7
Syria,1,0,0,1
Thailand,1,0,1,2
Tonga,0,1,0,1
Trinidad and Tobago,0,0,2,2
Tunisia,0,0,1,1
Turkey,4,1,1,6
Uganda,0,0,1,1
Ukraine,9,2,12,23
United States,44,32,25,101
Uzbekistan,0,1,1,2
Yugoslavia,1,1,2,4
Zambia,0,1,0,1
