NOC,Gold,Silver,Bronze,Total
Argentina,2,0,4,6
Australia,17,16,17,50
Austria,2,4,1,7
Azerbaijan,1,0,4,5
Bahamas,1,0,1,2
Belarus,2,5,6,13
Belgium,1,0,2,3
Brazil,5,2,3,10
Bulgaria,2,1,9,12
Cameroon,1,0,0,1
Canada,3,6,3,12
Chile,2,0,1,3
China,32,17,14,63
Chinese Taipei,2,2,1,5
Colombia,0,0,2,2
Croatia,1,2,2,5
Cuba,9,7,11,27
Czech Republic,1,3,5,9
Denmark,2,1,5,8
Dominican Republic,1,0,0,1
Egypt,1,1,3,5
Eritrea,0,0,1,1
Estonia,0,1,2,3
Ethiopia,2,3,2,7
Finland,0,2,0,2
France,11,9,13,33
Georgia,2,2,0,4
Germany,13,16,20,49
Great Britain,9,9,12,30
Greece,6,6,4,16
Hong Kong,0,1,0,1
Hungary,8,6,3,17
India,0,1,0,1
Indonesia,1,1,2,4
Iran,2,2,2,6
Israel,1,0,1,2
Italy,10,11,11,32
Jamaica,2,1,2,5
Japan,16,9,12,37
Kazakhstan,1,4,3,8
Kenya,1,4,2,7
Latvia,0,4,0,4
Lithuania,1,2,0,3
Mexico,0,3,1,4
Mongolia,0,0,1,1
Morocco,2,1,0,3
Netherlands,4,9,9,22
New Zealand,3,2,0,5
Nigeria,0,0,2,2
North Korea,0,4,1,5
Norway,5,0,1,6
Paraguay,0,1,0,1
Poland,3,2,5,10
Portugal,0,2,1,3
Romania,8,5,6,19
Russia,28,26,36,90
Serbia and Montenegro,0,2,0,2
Slovakia,2,2,2,6
Slovenia,0,1,3,4
South Africa,1,3,2,6
South Korea,9,12,9,30
Spain,3,11,6,20
Sweden,4,2,1,7
Switzerland,1,1,3,5
Syria,0,0,1,1
Thailand,3,1,4,8
Trinidad and Tobago,0,0,1,1
Turkey,3,3,5,11
Ukraine,8,5,9,22
United Arab Emirates,1,0,0,1
United States,36,39,26,101
Uzbekistan,2,1,2,5
Venezuela,0,0,2,2
Zimbabwe,1,1,1,3
