NOC,Gold,Silver,Bronze,Total
Afghanistan,0,0,1,1
Algeria,0,1,1,2
Argentina,2,0,4,6
Armenia,0,0,5,5
Australia,14,15,17,46
Austria,0,1,2,3
Azerbaijan,1,2,4,7
Bahamas,0,1,1,2
Belarus,4,5,9,18
Belgium,1,1,0,2
Brazil,3,4,8,15
Bulgaria,1,1,3,5
Cameroon,1,0,0,1
Canada,3,9,7,19
Chile,0,1,0,1
China,51,21,28,100
Chinese Taipei,0,0,4,4
Colombia,0,1,1,2
Croatia,0,2,3,5
Cuba,2,11,11,24
Czech Republic,3,3,0,6
Denmark,2,2,3,7
Dominican Republic,1,1,0,2
Ecuador,0,1,0,1
Egypt,0,0,1,1
Estonia,1,1,0,2
Ethiopia,4,1,2,7
Finland,1,1,2,4
France,7,16,18,41
Georgia,3,0,3,6
Germany,16,10,15,41
Great Britain,19,13,15,47
Greece,0,2,2,4
Hungary,3,5,2,10
Iceland,0,1,0,1
India,1,0,2,3
Indonesia,1,1,3,5
Iran,1,0,1,2
Ireland,0,1,2,3
Israel,0,0,1,1
Italy,8,9,10,27
Jamaica,6,3,2,11
Japan,9,6,10,25
Kazakhstan,2,4,7,13
Kenya,6,4,4,14
Kyrgyzstan,0,1,1,2
Latvia,1,1,1,3
Lithuania,0,2,3,5
Malaysia,0,1,0,1
Mauritius,0,0,1,1
Mexico,2,0,1,3
Moldova,0,0,1,1
Mongolia,2,2,0,4
Morocco,0,1,1,2
Netherlands,7,5,4,16
New Zealand,3,2,4,9
Nigeria,0,1,3,4
North Korea,2,1,3,6
Norway,3,5,1,9
Panama,1,0,0,1
Poland,3,6,1,10
Portugal,1,1,0,2
Romania,4,1,3,8
Russia,22,19,28,69
Serbia,0,1,2,3
Singapore,0,1,0,1
Slovakia,3,2,1,6
Slovenia,1,2,2,5
South Africa,0,1,0,1
South Korea,13,10,8,31
Spain,5,10,3,18
Sudan,0,1,0,1
Sweden,0,4,1,5
Switzerland,2,1,4,7
Tajikistan,0,1,1,2
Thailand,2,2,0,4
Togo,0,0,1,1
Trinidad and Tobago,0,2,0,2
Tunisia,1,0,0,1
Turkey,1,3,3,7
Ukraine,7,5,15,27
United States,36,38,36,110
Uzbekistan,1,2,3,6
Venezuela,0,0,1,1
Vietnam,0,1,0,1
Zimbabwe,1,3,0,4
