NOC,Gold,Silver,Bronze,Total
Afghanistan,0,0,1,1
Algeria,1,0,0,1
Argentina,1,1,2,4
Armenia,0,1,2,3
Australia,8,15,12,35
Azerbaijan,2,2,6,10
Bahamas,1,0,0,1
Bahrain,0,0,1,1
Belarus,2,5,5,12
Belgium,0,1,2,3
Botswana,0,1,0,1
Brazil,3,5,9,17
Bulgaria,0,1,1,2
Canada,1,5,12,18
China,38,29,21,88
Chinese Taipei,0,1,1,2
Colombia,1,3,4,8
Croatia,3,1,2,6
Cuba,5,3,7,15
Cyprus,0,1,0,1
Czech Republic,4,3,3,10
Denmark,2,4,3,9
Dominican Republic,1,1,0,2
Egypt,0,2,0,2
Estonia,0,1,1,2
Ethiopia,3,2,2,7
Finland,0,1,2,3
France,11,11,12,34
Gabon,0,1,0,1
Georgia,1,3,3,7
Germany,11,19,14,44
Great Britain,29,17,19,65
Greece,0,0,2,2
Grenada,1,0,0,1
Guatemala,0,1,0,1
Hong Kong,0,0,1,1
Hungary,8,4,6,18
India,0,3,3,6
Indonesia,0,1,1,2
Iran,4,6,2,12
Ireland,1,1,4,6
Italy,8,9,11,28
Jamaica,4,4,4,12
Japan,7,14,17,38
Kazakhstan,7,1,5,13
Kenya,2,4,6,12
Kuwait,0,0,1,1
Latvia,1,0,1,2
Lithuania,2,1,2,5
Malaysia,0,1,1,2
Mexico,1,3,3,7
Moldova,0,0,2,2
Mongolia,0,2,3,5
Montenegro,0,1,0,1
Morocco,0,0,1,1
Netherlands,6,6,8,20
New Zealand,6,2,5,13
North Korea,4,0,2,6
Norway,2,1,1,4
Poland,2,2,6,10
Portugal,0,1,0,1
Puerto Rico,0,1,1,2
Qatar,0,0,2,2
Romania,2,5,2,9
Russia,22,22,32,77
Saudi Arabia,0,0,1,1
Serbia,1,1,2,4
Singapore,0,0,2,2
Slovakia,0,1,3,4
Slovenia,1,1,2,4
South Africa,3,2,1,6
South Korea,13,8,7,28
Spain,3,10,4,17
Sweden,1,4,3,8
Switzerland,2,2,0,4
Tajikistan,0,0,1,1
Thailand,0,2,2,4
Trinidad and Tobago,1,1,2,4
Tunisia,2,0,1,3
Turkey,1,2,1,4
Uganda,1,0,0,1
Ukraine,6,4,8,18
United States,46,28,29,103
Uzbekistan,1,0,2,3
Venezuela,1,0,0,1
