NOC,Gold,Silver,Bronze,Total
Algeria,0,2,0,2
Argentina,3,1,0,4
Armenia,1,3,0,4
Australia,8,11,10,29
Austria,0,0,1,1
Azerbaijan,1,7,10,18
Bahamas,1,0,1,2
Bahrain,1,1,0,2
Belarus,1,4,4,9
Belgium,2,2,2,6
Brazil,7,6,6,19
Bulgaria,0,1,2,3
Burundi,0,1,0,1
Canada,4,3,15,22
China,26,18,26,70
Chinese Taipei,1,0,2,3
Colombia,3,2,3,8
Croatia,5,3,2,10
Cuba,5,2,4,11
Czech Republic,1,2,7,10
Denmark,2,6,7,15
Dominican Republic,0,0,1,1
Egypt,0,0,3,3
Estonia,0,0,1,1
Ethiopia,1,2,5,8
Fiji,1,0,0,1
Finland,0,0,1,1
France,10,18,14,42
Georgia,2,1,4,7
Germany,17,10,15,42
Great Britain,27,23,17,67
Greece,3,1,2,6
Grenada,0,1,0,1
Hungary,8,3,4,15
Independent Olympic Athletes,1,0,1,2
India,0,1,1,2
Indonesia,1,2,0,3
Iran,3,1,4,8
Ireland,0,2,0,2
Israel,0,0,2,2
Italy,8,12,8,28
Ivory Coast,1,0,1,2
Jamaica,6,3,2,11
Japan,12,8,21,41
Jordan,1,0,0,1
Kazakhstan,3,5,9,17
Kenya,6,6,1,13
Kosovo,1,0,0,1
Lithuania,0,1,3,4
Malaysia,0,4,1,5
Mexico,0,3,2,5
Moldova,0,0,1,1
Mongolia,0,1,1,2
Morocco,0,0,1,1
Netherlands,8,7,4,19
New Zealand,4,9,5,18
Niger,0,1,0,1
Nigeria,0,0,1,1
North Korea,2,3,2,7
Norway,0,0,4,4
Philippines,0,1,0,1
Poland,2,3,6,11
Portugal,0,0,1,1
Puerto Rico,1,0,0,1
Qatar,0,1,0,1
Romania,1,1,3,5
Russia,19,18,19,56
Serbia,2,4,2,8
Singapore,1,0,0,1
Slovakia,2,2,0,4
Slovenia,1,2,1,4
South Africa,2,6,2,10
South Korea,9,3,9,21
Spain,7,4,6,17
Sweden,2,6,3,11
Switzerland,3,2,2,7
Tajikistan,1,0,0,1
Thailand,2,2,2,6
Trinidad and Tobago,0,0,1,1
Tunisia,0,0,3,3
Turkey,1,3,4,8
Ukraine,2,5,4,11
United Arab Emirates,0,0,1,1
United States,46,37,38,121
Uzbekistan,4,2,7,13
Venezuela,0,1,2,3
Vietnam,1,1,0,2
